year,zone,count
1979,Sum of zone1,60
1979,Sum of zone2,84
1979,Sum of zone3,3255
1979,Sum of zone4,28603
1979,Sum of zone5,6719
1979,Sum of zone6,13067
1979,Sum of zone7,7326
1980,Sum of zone1,588
1980,Sum of zone2,322
1980,Sum of zone3,5284
1980,Sum of zone4,9695
1980,Sum of zone5,4064
1980,Sum of zone6,35481
1980,Sum of zone7,7649
1981,Sum of zone1,2288
1981,Sum of zone2,2405
1981,Sum of zone3,1626
1981,Sum of zone4,7299
1981,Sum of zone5,5552
1981,Sum of zone6,30585
1981,Sum of zone7,7580
1982,Sum of zone1,1056
1982,Sum of zone2,2063
1982,Sum of zone3,5000
1982,Sum of zone4,14097
1982,Sum of zone5,9980
1982,Sum of zone6,30684
1982,Sum of zone7,9580
1983,Sum of zone1,369
1983,Sum of zone2,723
1983,Sum of zone3,5029
1983,Sum of zone4,11642
1983,Sum of zone5,4510
1983,Sum of zone6,29002
1983,Sum of zone7,13642
1984,Sum of zone1,1641
1984,Sum of zone2,2223
1984,Sum of zone3,9351
1984,Sum of zone4,17923
1984,Sum of zone5,10378
1984,Sum of zone6,29689
1984,Sum of zone7,6546
1985,Sum of zone1,2058
1985,Sum of zone2,1474
1985,Sum of zone3,7700
1985,Sum of zone4,9260
1985,Sum of zone5,5081
1985,Sum of zone6,25155
1985,Sum of zone7,3895
1986,Sum of zone1,65
1986,Sum of zone2,693
1986,Sum of zone3,12112
1986,Sum of zone4,12263
1986,Sum of zone5,13960
1986,Sum of zone6,22282
1986,Sum of zone7,4770
1987,Sum of zone1,1920
1987,Sum of zone2,1289
1987,Sum of zone3,14610
1987,Sum of zone4,10362
1987,Sum of zone5,8310
1987,Sum of zone6,22056
1987,Sum of zone7,3716
1988,Sum of zone1,816
1988,Sum of zone2,1188
1988,Sum of zone3,12844
1988,Sum of zone4,20116
1988,Sum of zone5,7440
1988,Sum of zone6,24400
1988,Sum of zone7,5438
1989,Sum of zone1,1195
1989,Sum of zone2,1841
1989,Sum of zone3,10456
1989,Sum of zone4,7769
1989,Sum of zone5,11173
1989,Sum of zone6,26558
1989,Sum of zone7,5133
1990,Sum of zone1,89
1990,Sum of zone2,1833
1990,Sum of zone3,11910
1990,Sum of zone4,21677
1990,Sum of zone5,19990
1990,Sum of zone6,39420
1990,Sum of zone7,9439
1991,Sum of zone1,1644
1991,Sum of zone2,1790
1991,Sum of zone3,11525
1991,Sum of zone4,12711
1991,Sum of zone5,15242
1991,Sum of zone6,22552
1991,Sum of zone7,4324
1992,Sum of zone1,636
1992,Sum of zone2,688
1992,Sum of zone3,16112
1992,Sum of zone4,9108
1992,Sum of zone5,14116
1992,Sum of zone6,26581
1992,Sum of zone7,9119
1993,Sum of zone1,1091
1993,Sum of zone2,233
1993,Sum of zone3,12725
1993,Sum of zone4,9740
1993,Sum of zone5,8548
1993,Sum of zone6,27076
1993,Sum of zone7,6941
1994,Sum of zone1,1002
1994,Sum of zone2,730
1994,Sum of zone3,19046
1994,Sum of zone4,4352
1994,Sum of zone5,16565
1994,Sum of zone6,32376
1994,Sum of zone7,9684
1995,Sum of zone1,923
1995,Sum of zone2,1195
1995,Sum of zone3,23746
1995,Sum of zone4,10467
1995,Sum of zone5,9957
1995,Sum of zone6,33569
1995,Sum of zone7,6796
1996,Sum of zone1,1915
1996,Sum of zone2,1325
